id;nom_produit;description_produit;prix_produit;image_produit
1;au prix de ding rose;diplomate à défaut de ;12214.68;rédaction coin-coin
2;pin-pon ouille;bof commissionnaire afin que;4715.93;maigre
3;de façon à;plic tic-tac;31601.31;à partir de
4;sauvage;à condition que en decà de essayer;9526.54;supporter
5;en dedans de du moment que;crac personnel professionnel;32105.71;parce que membre du personnel
6;où crac auprès de;mesurer chut;9222.8;clientèle biathlète
7;toc émérite agréable;prout;6088.53;du moment que officier
8;badaboum multiple pour que;drelin;9550.54;ressembler
9;afin de pourpre;hors lâche décider;28499.96;étant donné que
10;chef durer à l'insu de;redevenir avouer;26607.65;sauvage chef horrible
